Product_Name,MRP,DSP,Discount,Ratings,Reviews,RAMGB,ROMGB,Warranty in Years
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an,59990,38990,35,1928,236,16,512,1
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto,33399,17990,46,1236,118,8,256,1
HP 15s Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0006TU / 15-fd0569TU Thin,50903,34990,31,430,36,8,512,1
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Wi,104890,67990,35,233,34,16,512,1
Acer Swift Neo OLED AI PC Intel Core Ultra 5 115U - (16 GB/512 GB SSD/Windows 11 Home) SFN14-54H Thin ,99999,54990,45,295,39,16,512,1
"ASUS Vivobook S14 Flip (2025) with Office 2024 + M365 Basic*, A-Part Metal Body, Intel Core i5 13th Ge",86990,69990,19,56,5,16,512,1
ASUS Vivobook 15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) X1502VA-BQ837WS Th,85990,66990,22,184,16,16,512,1
HP 15 Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and,50843,37990,25,208,12,8,512,1
Lenovo Ideapad Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) 15IAH8,75000,50980,32,95,6,16,512,
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Wind,110490,71990,34,233,34,16,,1
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,34990,17990,48,1711,204,8,8,1
Lenovo V 15 (2025) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Pro) V 15 Thin and Light ,52990,28990,45,23,1,8,512,1
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Wi,104890,67990,35,233,34,16,512,1
ZEBRONICS Pro Series Z Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 5S Th,78999,36990,53,190,12,16,512,1
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Wi,104890,67990,35,233,34,16,512,1
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,34990,22990,34,761,135,8,256,1
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh,43999,22990,47,13309,969,8,512,1
HP 255 G10 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 255 G10 Thin and Light Lapt,48990,32990,32,827,54,8,512,1
ASUS Vivobook Go 15 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) E510KA-EJ9011WS ,35990,25890,28,1278,112,8,512,1
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh,70064,44990,35,7819,365,8,512,1
Primebook 4G Android based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt,23990,16490,31,17,8,4,,1
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light L,44990,28990,35,615,85,8,512,1
Acer Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop,47990,31990,33,3896,296,16,512,1
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,34990,17990,48,1711,204,8,8,1
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G,84999,54990,35,2646,211,16,512,1
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an,59990,38990,35,1928,236,16,512,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi,93690,59990,35,435,52,16,512,1
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop,39990,18990,52,1711,204,8,256,1
Lenovo LOQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF,112990,81490,27,117,7,16,512,1
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin an,69190,46990,32,518,59,8,512,
HP 250 G9 Intel Celeron Dual Core 12th Gen 4500u - (8 GB/256 GB SSD/DOS) 8Y2Y9PA Laptop,28042,21980,21,196,13,8,256,
Acer Swift Neo OLED AI PC Intel Core Ultra 5 115U - (16 GB/512 GB SSD/Windows 11 Home) SFN14-54H Thin ,99999,54990,45,295,39,16,512,1
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,34990,17990,48,1711,204,8,8,1
HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15 -fd0129TU / fd0186TU / 1,50903,36990,27,789,41,8,512,1
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ,43000,27990,34,3896,296,8,512,1
DELL 15 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) OVN353025001RING1O Thin and ,44855,41490,7,70,6,16,512,
HP 15 G10 (2025) AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) 15 G10 Thin and Light ,49990,24490,51,65,7,8,256,1
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Wind,110490,71990,34,233,34,16,,1
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light,29999,23500,21,2837,221,8,512,1
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh,59990,34990,41,1545,133,8,512,1
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ131WS | ,44990,33990,24,408,27,8,512,1
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim ,70790,48990,30,213,12,16,512,1
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H",66990,44550,33,8310,475,16,512,1
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD,49990,38990,22,,,8,512,1
ASUS Vivobook 15 Intel Core i5 12th Gen i5-1235U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS L,70990,47890,32,20,1,8,512,1
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS,74990,34990,53,958,99,16,512,1
Acer Aspire Lite AMD Ryzen 7 Octa Core 7730U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light,68999,44990,34,344,33,16,,1
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh,70064,44990,35,7819,365,8,512,1
MICROSOFT Surface Laptop (7th Edition) AI PC Snapdragon X Elite - (16 GB/1 TB SSD/Windows 11 Home) ZYT,183999,173990,5,,,16,,1
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor,87262,69990,19,184,7,16,512,1
ASUS Vivobook 16 (2025) with Office 2024 + M365 Basic* Intel Core i5 13th Gen 13420H - (16 GB/512 GB S,74990,56890,24,45,2,16,512,1
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light,30240,24990,17,234,28,8,512,1
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) A324-51 Thin and Light ,41000,28990,29,3896,296,8,256,1
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an,59990,38990,35,1928,236,16,512,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi,93690,59990,35,435,52,16,512,1
MICROSOFT Surface Laptop (7th Edition) AI PC Snapdragon X Elite - (16 GB/512 GB SSD/Windows 11 Home) Z,163999,154990,5,,,16,512,1
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L,57499,38990,32,5490,565,8,512,1
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, AI PC Intel Core Ultra 5 225H - (16 GB/512 GB ",92990,70990,23,93,11,16,512,
Acer Swift Neo OLED AI PC Intel Core Ultra 5 115U - (16 GB/512 GB SSD/Windows 11 Home) SFN14-54H Thin ,99999,54990,45,295,39,16,512,1
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,34990,17990,48,1711,204,8,8,1
Acer Aspire Lite AMD Ryzen 3 Quad Core 7330U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig,46990,31990,31,582,50,16,512,1
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70501WS ,69990,34990,50,958,99,8,512,1
HP 15 (2025) Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) 15 Thin and Light Lapto,44990,25490,43,24,3,8,512,1
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A325-45 Thin and Light,29990,22990,23,1211,112,8,256,1
ASUS Vivobook 15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) X1502VA-BQ838WS Th,85990,66990,22,184,16,16,512,1
HP Envy x360 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 15-fe0028TU Laptop,110245,98990,10,38,7,16,512,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi,93690,59990,35,435,52,16,512,1
Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB,92390,64990,29,31,1,16,512,1
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,54552,35900,34,8418,598,8,512,1
MICROSOFT Surface Laptop (7th Edition) AI PC Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) ZG,134999,126990,5,,,16,512,1
HP 15 (2025) AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) 15 Thin and Light Laptop,44990,24690,45,6,1,8,256,1
HP 14R (2025) Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 14R G9 Thin and Light ,75000,35990,52,56,5,16,512,1
Acer Aspire Lite AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh,44990,29990,33,582,50,8,512,1
MICROSOFT Surface Laptop (7th Edition) AI PC Snapdragon X Elite - (16 GB/512 GB SSD/Windows 11 Home) Z,154999,145990,5,,,16,512,1
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor,93190,67990,27,21,2,24,512,1
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap,47737,31990,32,5831,476,8,512,1
MICROSOFT Surface Laptop (7th Edition) AI PC Snapdragon X Elite - (16 GB/256 GB SSD/Windows 11 Home) Z,142999,134990,5,,,16,256,1
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light,32999,22990,30,2837,221,8,512,1
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Wind,110490,71990,34,233,34,16,512,1
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ2325WS | ,56990,41990,26,947,74,16,512,1
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an,59990,38990,35,1928,236,16,512,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi,93690,59990,35,435,52,16,512,1
HP Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) 14s-dq3141TU Thin and Light Lapto,,31933,,3,0,8,512,1
HP Victus 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge,92110,69990,24,1317,86,16,512,1
HP 15 Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and,50843,37990,25,208,12,8,512,1
ASUS Vivobook 15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) X1502VA-BQ837WS Th,85990,66990,22,184,16,16,512,1
Acer Swift Neo OLED AI PC Intel Core Ultra 5 115U - (16 GB/512 GB SSD/Windows 11 Home) SFN14-54H Thin ,99999,54990,45,295,39,16,512,1
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,34990,17990,48,1711,204,8,8,1
HP Pavilion Plus Laptop 14 Enhanced by AI With Backlit Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Win,101089,68990,31,,,16,512,1
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Wi,104890,67990,35,233,34,16,512,1
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor,90490,64990,28,575,48,24,512,1
Acer Aspire Lite Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) AL15-53 Notebook,46990,34990,25,170,14,16,512,1
ASUS Vivobook 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ540WS | X,79990,48199,39,522,28,16,512,1
DELL Inspiron Intel Core i3 10th Gen 1005G1 - (4 GB/1 TB HDD/Windows 10 Home) Inspiron 3501 Laptop,,42881,,318,48,4,,1
Lenovo IdeaPad 3 Intel Core i5 10th Gen 1035G7 - (8 GB/1 TB HDD/Windows 10 Home) 15IIL05 Laptop,,63790,,411,36,8,,1
Acer Swift Go 14 AMD Ryzen 7 Octa Core 7730U - (16 GB/1 TB SSD/Windows 11 Home) SFG14-41 Thin and Ligh,,84999,,630,70,16,,1
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto,33399,17990,46,1236,118,8,256,1
Infinix ZEROBOOK 13 Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) ZL513 Thin and ,79990,40990,48,667,98,16,512,1
Lenovo IdeaPad Slim 3 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15AMN8 Thin and,72190,40490,43,224,17,16,512,
HP Pavilion Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3079TU Thin and Lig,83705,60990,27,1523,100,16,512,1
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto,35999,19990,44,2104,213,8,512,1
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Wi,104890,67990,35,233,34,16,512,1
Acer Aspire Lite AMD Ryzen 3 Quad Core 7330U - (8 GB/256 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh,44990,27990,37,78,7,8,256,1
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU / FD0063TU Thin a,51134,34970,31,7190,579,8,512,1
DELL Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) INSPIRON 5440 Laptop,49427,34800,29,,,8,512,
"ASUS Vivobook S14 Flip (2025) with Office 2024 + M365 Basic*, A-Part Metal Body, Intel Core i5 13th Ge",86990,69990,19,56,5,16,512,1
ASUS Vivobook 15 Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) X1504VAP-NJ541WS Thin and Ligh,79990,49500,38,3,0,16,512,
MICROSOFT Surface Laptop (7th Edition) AI PC Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) ZG,134999,109990,18,,,16,512,1
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an,59990,38990,35,1928,236,16,512,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi,93690,59990,35,435,52,16,512,1
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Wind,110490,71990,34,233,34,16,,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi,93690,59990,35,435,52,16,512,1
Lenovo IdeaPad 1 MSO'2024 AMD Ryzen 5 Hexa Core 5625U AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/,68990,37990,44,443,33,16,512,1
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H",74990,50990,32,55,6,16,512,1
Acer Swift Neo OLED AI PC Intel Core Ultra 5 115U - (16 GB/512 GB SSD/Windows 11 Home) SFN14-54H Thin ,99999,54990,45,295,39,16,512,1
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,34990,17990,48,1711,204,8,8,1
Acer Aspire 3 Intel Core i3 13th Gen - (8 GB/256 GB SSD/Windows 11 Home) A324-53 Thin and Light Laptop,39990,27990,30,2166,163,8,256,1
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB S,43990,33990,22,2579,246,8,512,1
